analysis,n,events,HR,lower,upper,p
Primary (complete case),6035,677,1.1971994343865817,1.0755994654313479,1.3325466697966049,0.0009892314155582995
Follow-up >= 2 years,5967,671,1.1984116106339409,1.0762077123065734,1.3344918198217823,0.0009725987305927944
Excluding TyG < 7.0,6030,677,1.1945209235711227,1.0728365136264237,1.3300071527450519,0.0011847486032311558
Excluding TyG < 7.5,5969,676,1.1757664442097306,1.05404450462351,1.3115449350247097,0.003685082185838163
