model,level,term,HR,lower,upper,p
Unadjusted,Per 1-unit increase,TyG,1.3047777013429982,1.1812243749713274,1.4412544187155323,1.5941632741235027e-07
Model 1,Per 1-unit increase,TyG,1.3345797718345596,1.206527516749176,1.4762225831275897,2.046941338335568e-08
Model 2,Per 1-unit increase,TyG,1.1971994343865817,1.0755994654313479,1.3325466697966049,0.0009892314155582995
Unadjusted,Middle vs Low,TyG tertile,1.3904353317150746,1.1439120607614708,1.6900865704612449,0.0009321379043173851
Unadjusted,High vs Low,TyG tertile,1.5498499190855517,1.2796952768179215,1.8770365220557574,7.338920920055763e-06
Model 1,Middle vs Low,TyG tertile,1.401768332566432,1.1526595597511022,1.7047136264677967,0.000716706930776802
Model 1,High vs Low,TyG tertile,1.58825622396477,1.3089891340567341,1.9271037225076741,2.7464502800272875e-06
Model 2,Middle vs Low,TyG tertile,1.2817550416660417,1.0520308289358007,1.5616424363706287,0.013766214378663924
Model 2,High vs Low,TyG tertile,1.2936971414335028,1.0594542882001103,1.57973053900849,0.011515613253447795
